Income,Home,Emp_length,Intent,Amount,Rate,Percent_income,Cred_length
32000,RENT,2.0,MEDICAL,8575,15.62,0.27,2
37000,MORTGAGE,7.0,MEDICAL,3600,11.71,0.1,2
68872,RENT,2.0,PERSONAL,25000,15.95,0.36,10
34600,RENT,0.0,EDUCATION,8950,6.17,0.26,4
27000,RENT,4.0,MEDICAL,2000,7.88,0.07,6
49278,RENT,4.0,VENTURE,11000,13.22,0.22,2
78000,RENT,1.0,MEDICAL,4000,9.88,0.05,6
57600,MORTGAGE,1.0,PERSONAL,6000,10.0,0.1,2
35004,MORTGAGE,3.0,HOMEIMPROVEMENT,16000,13.23,0.46,9
44400,MORTGAGE,5.0,HOMEIMPROVEMENT,6500,14.84,0.15,7
27600,RENT,3.0,MEDICAL,4000,5.42,0.14,4
28452,RENT,4.0,PERSONAL,1500,11.11,0.05,5
72800,RENT,1.0,VENTURE,12000,7.66,0.16,12
41004,RENT,5.0,PERSONAL,5000,15.28,0.12,5
54000,RENT,0.0,DEBTCONSOLIDATION,7000,13.61,0.13,4
50000,OWN,3.0,EDUCATION,5000,5.99,0.1,7
28800,RENT,5.0,PERSONAL,4500,7.88,0.16,5
55000,RENT,3.0,EDUCATION,14500,6.62,0.26,2
48500,RENT,5.0,DEBTCONSOLIDATION,3850,8.49,0.08,4
78000,MORTGAGE,0.0,DEBTCONSOLIDATION,19500,15.31,0.25,4
46000,MORTGAGE,7.0,PERSONAL,5000,6.62,0.11,3
41000,RENT,3.0,MEDICAL,6000,10.99,0.15,2
28000,RENT,3.0,DEBTCONSOLIDATION,8000,14.65,0.29,4
120000,RENT,2.0,DEBTCONSOLIDATION,10000,11.71,0.08,3
75000,MORTGAGE,4.0,VENTURE,15000,11.48,0.2,7
58000,RENT,2.0,EDUCATION,4000,9.67,0.07,9
33000,RENT,1.0,EDUCATION,2000,6.03,0.06,4
40000,MORTGAGE,3.0,VENTURE,1750,11.83,0.04,4
45000,MORTGAGE,4.0,EDUCATION,9925,11.48,0.22,2
46000,MORTGAGE,6.0,PERSONAL,4000,10.37,0.09,2
40000,OTHER,1.0,MEDICAL,10000,8.0,0.25,10
98000,RENT,5.0,PERSONAL,6000,15.96,0.06,23
134748,MORTGAGE,4.0,HOMEIMPROVEMENT,25000,10.75,0.19,3
30000,RENT,2.0,VENTURE,2400,9.91,0.08,5
60000,RENT,0.0,MEDICAL,16800,13.85,0.28,2
55000,MORTGAGE,3.0,VENTURE,5000,7.88,0.09,4
81996,MORTGAGE,4.0,EDUCATION,14000,7.88,0.17,3
55200,RENT,9.0,MEDICAL,12000,11.71,0.22,15
60000,RENT,0.0,HOMEIMPROVEMENT,11000,10.71,0.18,7
113800,MORTGAGE,3.0,MEDICAL,7500,8.63,0.07,10
117000,RENT,10.0,EDUCATION,10000,7.66,0.09,11
80000,RENT,2.0,MEDICAL,24000,10.25,0.3,2
78000,MORTGAGE,2.0,MEDICAL,7000,9.62,0.09,6
100000,MORTGAGE,0.0,EDUCATION,7000,5.79,0.07,3
40000,RENT,1.0,VENTURE,6500,11.89,0.16,3
100000,MORTGAGE,1.0,VENTURE,12000,5.42,0.12,7
73000,MORTGAGE,7.0,HOMEIMPROVEMENT,12000,7.29,0.16,10
